"Date & Time","use [kW]","gen [kW]","MaxVrmsA [V]","MaxVrmsB [V]","Renewable Power [kW]","Consumption (House) [kW]","VrmsA [V]","VrmsB [V]","I11 [A]","I12 [A]","I21 [A]","I22 [A]","I31 [A]","I32 [A]","F1 [Hz]","Grid Power [kW]","Generac Power [kW]","Current on Utility Tie [A]","Shop [kW]","Panel1 (HVAC) [kW]","Panel2 (H2O) [kW]","Panel3 (Kitchen) [kW]"
2023-11-01 12:39:50,-0.347000000,-3.501800000,122.592005823,123.026205843,3.155200000,-0.346900000,122.592005823,123.026205843,1.114900053,0.104800005,0.934300044,0.352300017,1.004100048,0.278600013,59.989202849,-3.502000000,0.000200000,15.199500722,-0.000100000,-0.121300000,-0.104900000,-0.120700000
2023-11-01 12:39:40,-0.345700000,-3.497000000,122.511105819,122.940105839,3.151500000,-0.345700000,122.511105819,122.940105839,1.102800052,0.106200005,0.932000044,0.351500017,1.004500048,0.277800013,59.979702849,-3.497200000,0.000200000,15.184500721,-0.000000000,-0.120300000,-0.104700000,-0.120700000
2023-11-01 12:39:30,-0.347300000,-3.498700000,122.556505821,122.992905842,3.151500000,-0.347300000,122.556505821,122.992905842,1.119500053,0.108300005,0.932800044,0.352300017,1.002700048,0.278400013,59.982502849,-3.498800000,0.000100000,15.195000722,-0.000000000,-0.121900000,-0.104900000,-0.120500000
2023-11-01 12:39:20,-0.356300000,-3.488900000,122.670805827,123.092605847,3.133100000,-0.356200000,122.670805827,123.092605847,1.113900053,0.106700005,0.935000044,0.355000017,1.060900050,0.278100013,59.984502849,-3.489200000,0.000300000,15.105300717,-0.000100000,-0.121300000,-0.105400000,-0.129500000
2023-11-01 12:39:10,-0.358000000,-3.483200000,122.750105830,123.161905850,3.125500000,-0.358000000,122.750105830,123.161905850,1.086900052,0.106200005,0.932600044,0.356300017,1.088900052,0.277800013,59.976702849,-3.483500000,0.000300000,15.043000715,-0.000000000,-0.119000000,-0.105200000,-0.133800000
2023-11-01 12:39:00,-0.358500000,-3.483900000,122.754605831,123.168805850,3.125800000,-0.358400000,122.754605831,123.168805850,1.091500052,0.106000005,0.931900044,0.355000017,1.085300052,0.279200013,59.972602849,-3.484100000,0.000200000,15.047000715,-0.000100000,-0.119400000,-0.105200000,-0.133800000
2023-11-01 12:38:50,-0.351400000,-3.492500000,122.679105827,123.101105847,3.141600000,-0.351300000,122.679105827,123.101105847,1.089000052,0.108200005,0.952700045,0.354000017,1.026900049,0.278100013,59.986002849,-3.492800000,0.000300000,15.133500719,-0.000100000,-0.119000000,-0.107100000,-0.125200000
2023-11-01 12:38:40,-0.347300000,-3.487200000,122.662305826,123.091405847,3.140100000,-0.347300000,122.662305826,123.091405847,1.088900052,0.107600005,0.979700047,0.354200017,0.980000047,0.278200013,59.994702850,-3.487400000,0.000200000,15.151200720,-0.000000000,-0.119100000,-0.109800000,-0.118400000
2023-11-01 12:38:30,-0.343600000,-3.500800000,122.723605829,123.152805849,3.157500000,-0.343600000,122.723605829,123.152805849,1.089600052,0.105200005,0.941000045,0.354800017,0.979200047,0.277800013,60.004302850,-3.501100000,0.000300000,15.184700721,-0.000000000,-0.119200000,-0.106100000,-0.118300000
2023-11-01 12:38:20,-0.343500000,-3.505000000,122.743205830,123.164405850,3.161900000,-0.343400000,122.743205830,123.164405850,1.088900052,0.104800005,0.938600045,0.354000017,0.978700046,0.278700013,60.002702850,-3.505200000,0.000200000,15.198600722,-0.000100000,-0.119200000,-0.105800000,-0.118400000
2023-11-01 12:38:10,-0.343200000,-3.506000000,122.788305832,123.217705853,3.162900000,-0.343200000,122.788305832,123.217705853,1.086100052,0.107800005,0.934100044,0.356100017,0.979200047,0.278600013,59.998402850,-3.506100000,0.000100000,15.194000722,-0.000000000,-0.119100000,-0.105600000,-0.118500000
2023-11-01 12:38:00,-0.342500000,-3.515600000,122.707305828,123.133505849,3.173500000,-0.342400000,122.707305828,123.133505849,1.090000052,0.105500005,0.929900044,0.354000017,0.978900046,0.278800013,59.990102849,-3.515800000,0.000200000,15.241500724,-0.000100000,-0.119100000,-0.104800000,-0.118500000
2023-11-01 12:37:50,-0.342200000,-3.516500000,122.624905824,123.045405844,3.174500000,-0.342200000,122.624905824,123.045405844,1.087900052,0.107700005,0.931500044,0.352500017,0.979200047,0.278200013,59.988002849,-3.516700000,0.000200000,15.253000724,-0.000000000,-0.118900000,-0.104800000,-0.118500000
2023-11-01 12:37:40,-0.342700000,-3.519900000,122.612605824,123.032705844,3.177600000,-0.342600000,122.612605824,123.032705844,1.092100052,0.106600005,0.936400044,0.352300017,0.979200047,0.278300013,59.988602849,-3.520100000,0.000200000,15.271900725,-0.000100000,-0.119100000,-0.105300000,-0.118200000
2023-11-01 12:37:30,-0.348600000,-3.502800000,122.563505821,122.998905842,3.154600000,-0.348500000,122.563505821,122.998905842,1.093500052,0.106000005,0.994700047,0.351100017,0.982700047,0.278000013,59.988702849,-3.503000000,0.000200000,15.229400723,-0.000100000,-0.119300000,-0.110800000,-0.118400000
2023-11-01 12:37:20,-0.344000000,-3.508100000,122.510905819,122.948905840,3.164400000,-0.343900000,122.510905819,122.948905840,1.110800053,0.105400005,0.930100044,0.351500017,0.980300047,0.278200013,59.995702850,-3.508200000,0.000100000,15.239700724,-0.000100000,-0.120900000,-0.104700000,-0.118300000
2023-11-01 12:37:10,-0.343100000,-3.512600000,122.555605821,122.987105842,3.169800000,-0.343100000,122.555605821,122.987105842,1.097700052,0.106900005,0.931100044,0.351100017,0.984600047,0.277500013,60.000602850,-3.512900000,0.000300000,15.248800724,-0.000000000,-0.119700000,-0.104800000,-0.118600000
2023-11-01 12:37:00,-0.342300000,-3.514700000,122.631605825,123.052005845,3.172700000,-0.342300000,122.631605825,123.052005845,1.090600052,0.107100005,0.932500044,0.352400017,0.980400047,0.278200013,60.002502850,-3.515000000,0.000300000,15.247900724,-0.000000000,-0.119200000,-0.104900000,-0.118200000
2023-11-01 12:36:50,-0.342600000,-3.506000000,122.599805823,123.031205844,3.163700000,-0.342500000,122.599805823,123.031205844,1.093800052,0.105400005,0.932600044,0.351800017,0.978900046,0.278700013,59.996202850,-3.506100000,0.000100000,15.218200723,-0.000100000,-0.119400000,-0.104900000,-0.118200000
2023-11-01 12:36:40,-0.344000000,-3.510800000,122.635705825,123.057405845,3.167100000,-0.344000000,122.635705825,123.057405845,1.103600052,0.104600005,0.938300045,0.352400017,0.980800047,0.278400013,59.990602849,-3.511100000,0.000300000,15.241200724,-0.000000000,-0.120300000,-0.105500000,-0.118200000
